symbol,marketCap,ipoYear,sector,industry,date,open,high,low,close,volume,adjclose
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-04,2.67,2.7,2.41,2.55,11700,2.55
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-03,2.72,2.73,2.65,2.69,18500,2.69
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-02,2.51,2.71,2.51,2.65,80800,2.65
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-30,2.59,2.61,2.46,2.51,5100,2.51
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-29,2.52,2.59,2.33,2.52,69700,2.52
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-28,2.55,2.55,2.45,2.54,16500,2.54
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-27,2.6,2.6,2.53,2.55,13900,2.55
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-26,2.5,2.61,2.46,2.54,222700,2.54
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-23,2.36,2.48,2.31,2.42,81100,2.42
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-22,2.3,2.36,2.21,2.3,53000,2.3
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-21,2.11,2.41,2.11,2.29,175700,2.29
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-20,1.84,2.1,1.84,2.1,71400,2.1
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-16,1.84,1.85,1.8,1.8,10300,1.8
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-15,1.8,1.83,1.79,1.8,18200,1.8
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-14,1.77,1.84,1.77,1.83,14300,1.83
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-13,1.79,1.8,1.75,1.75,10200,1.75
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-01-12,1.78,1.79,1.73,1.77,1500,1.77
